City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,turan,16.0678,108.2208,24.99,100,20,0.0,VN,1696201070
290,pampa,35.5362,-100.9599,28.08,43,91,10.02,US,1696201070
291,kayangel,8.0823,134.7173,28.23,77,21,1.72,PW,1696201070
292,tinajo,29.0788,-13.7081,25.49,69,0,2.06,ES,1696201070
293,pimentel,-6.8367,-79.9342,24.16,64,20,7.72,PE,1696201070
294,igrim,63.1906,64.4162,10.57,83,96,4.47,RU,1696201071
295,shahrak,34.1074,64.3052,3.85,50,0,1.14,AF,1696201071
296,ujkigyos,46.5833,21.0333,10.08,55,49,2.17,HU,1696201071
297,mishelevka,52.8575,103.1719,1.16,85,82,1.41,RU,1696201071
298,vengerovo,55.6848,76.7471,2.31,64,20,2.94,RU,1696201071
299,kralendijk,12.15,-68.2667,30.99,70,0,4.63,BQ,1696201071
300,fayroz koh,34.5195,65.2509,4.24,49,0,0.69,AF,1696201071
301,port-vila,-17.7338,168.3219,25.78,61,20,6.69,VU,1696201071
302,kapuskasing,49.4169,-82.4331,19.05,72,75,4.63,CA,1696201072
303,dunedin,-45.8742,170.5036,18.37,34,13,9.37,NZ,1696201072
304,watford city,47.8022,-103.2832,18.92,100,100,3.09,US,1696201072
305,gizo,-8.103,156.8419,27.82,80,76,7.65,SB,1696200844
306,taksimo,56.3444,114.8794,5.95,73,100,0.45,RU,1696201072
307,toyooka,35.5333,134.8333,19.94,62,87,2.92,JP,1696201072
308,tobruk,32.0836,23.9764,23.49,64,0,4.61,LY,1696201072
309,sogndal,61.2283,7.1003,9.21,93,100,0.51,NO,1696201072
310,trashi yangtse,27.6116,91.498,17.74,88,83,1.13,BT,1696201072
311,tanout,14.9709,8.8879,26.48,49,31,2.28,NE,1696200876
312,princeville,45.7668,-61.2985,14.32,91,0,0.0,CA,1696201073
313,okhotsk,59.3833,143.3,6.18,82,95,1.2,RU,1696201073
314,kabwe,-14.4469,28.4464,23.85,37,10,2.75,ZM,1696201073
315,san antonio de pale,-1.4014,5.6325,25.11,83,76,5.05,GQ,1696200840
316,bandarbeyla,9.4942,50.8122,25.57,88,22,5.77,SO,1696200835
317,flying fish cove,-10.4217,105.6791,23.82,83,75,5.66,CX,1696201073
318,mikhaylovka,50.06,43.2379,12.61,48,96,3.03,RU,1696201073
319,chisec,15.8167,-90.2833,29.13,81,83,0.83,GT,1696201073
320,essaouira,31.5125,-9.77,23.72,60,65,1.54,MA,1696201073
321,bir el ater,34.7449,8.0602,18.64,56,0,0.95,DZ,1696201074
322,scottsboro,34.6723,-86.0341,29.49,45,46,2.02,US,1696201074
323,reggane,26.7158,0.1714,32.07,24,0,9.98,DZ,1696201074
324,touros,-5.1989,-35.4608,24.69,77,50,5.67,BR,1696201074
325,avarua,-21.2078,-159.775,24.03,83,75,4.63,CK,1696201074
326,tura,25.5198,90.2201,23.08,97,97,1.89,IN,1696201074
327,erenhot,43.6475,111.9767,13.92,31,100,2.87,CN,1696201074
328,cabo san lucas,22.8909,-109.9124,35.34,62,2,6.71,MX,1696200941
329,mount pearl,47.5166,-52.7813,13.97,78,75,10.29,CA,1696201075
